city,population
Abbeville,423
Aberdeen,5205
Ackerman,1448
Algoma,689
Alligator,187
Amory,6794
Anguilla,625
Arcola,321
Artesia,425
Ashland,519
Baldwyn,3268
Bassfield,212
Batesville,7218
Bay St. Louis,14034
Bay Springs,1658
Beaumont,914
Beauregard village,324
Belmont,1988
Belzoni,1915
Benoit,423
Bentonia,419
Beulah,325
Big Creek village,147
Biloxi,46212
Blue Mountain,948
Blue Springs village,241
Bolton,531
Booneville,8497
Boyle,588
Brandon,24289
Braxton village,179
Brookhaven,11947
Brooksville,1083
Bruce,1818
Bude,1000
Burnsville,934
Byhalia,1210
Byram,11428
Caledonia,1058
Calhoun City,1668
Canton,12094
Carrollton,176
Carthage,4782
Cary,272
Centreville,1424
Charleston,1867
Chunky,315
Clarksdale,14894
Cleveland,11073
Clinton,24440
Coahoma,320
Coffeeville,826
Coldwater,1533
Collins,2425
Columbia,5837
Columbus,23573
Como,1188
Corinth,14472
Courtland,511
Crawford,650
Crenshaw,845
Crosby,276
Crowder,639
Cruger,336
Crystal Springs,4715
Decatur,1705
De Kalb,1007
Derma,974
Diamondhead,8048
D'Iberville,14012
D'Lo,437
Doddsville,88
Drew,1608
Duck Hill,1646
Dumas,456
Duncan,380
Durant,2262
Ecru,1037
Eden village,121
Edwards,1005
Ellisville,4559
Enterprise,475
Ethel,385
Eupora,2005
Falcon,143
Falkner,489
Farmington,2155
Fayette,1436
Flora,1862
Florence,4494
Flowood,9380
Forest,5536
French Camp,165
Friars Point,1015
Fulton,3980
Gattman village,88
Gautier,18490
Georgetown,268
Glen,414
Glendora village,132
Gloster,869
Golden,188
Goodman,1164
Greenville,29085
Greenwood,13561
Grenada,12219
Gulfport,71705
Gunnison,408
Guntown,2792
Hatley,460
Hattiesburg,45863
Hazlehurst,3730
Heidelberg,659
Hernando,16399
Hickory,529
Hickory Flat,550
Hollandale,2304
Holly Springs,7798
Horn Lake,27272
Houston,3427
Indianola,9037
Inverness,866
Isola,611
Itta Bena,1809
Iuka,2937
Jackson,160628
Jonestown,1100
Jumpertown,488
Kilmichael,557
Kosciusko,6720
Kossuth village,208
Lake,324
Lambert,1343
Laurel,18338
Leakesville,894
Learned,88
Leland,3766
Lena,136
Lexington,1453
Liberty,667
Long Beach,16023
Louin,259
Louise,169
Louisville,5983
Lucedale,3153
Lula,249
Lumberton,2218
Lyon,288
Maben,840
McComb,13013
McCool,124
McLain,436
Macon,2421
Madison,25661
Magee,4097
Magnolia,2212
Mantachie,1111
Mantee village,214
Marietta,255
Marion,1495
Marks,1419
Mathiston,664
Mayersville,591
Meadville,421
Mendenhall,2387
Meridian,36347
Merigold,377
Metcalfe,965
Mize,323
Monticello,1472
Montrose,135
Moorhead,2063
Morgan City,238
Morton,3527
Moss Point,13350
Mound Bayou,1370
Mount Olive,912
Myrtle,498
Natchez,14615
Nettleton,1919
New Albany,8753
New Augusta,601
New Hebron,421
New Houlka,607
Newton,3155
North Carrollton,429
Noxapater,438
Oakland,501
Ocean Springs,17862
Okolona,2591
Olive Branch,38924
Osyka,411
Oxford,28122
Pace,240
Pachuta,233
Paden village,113
Pascagoula,21699
Pass Christian,6307
Pearl,26510
Pelahatchie,1382
Petal,10632
Philadelphia,7078
Picayune,10904
Pickens,995
Pittsboro village,192
Plantersville,1137
Polkville,821
Pontotoc,6169
Pope village,248
Poplarville,2899
Port Gibson,1312
Potts Camp,467
Prentiss,933
Puckett village,348
Purvis,2392
Quitman,2111
Raleigh,1411
Raymond,2115
Renova,747
Richland,7241
Richton,1008
Ridgeland,24104
Rienzi,308
Ripley,5273
Rolling Fork,1929
Rosedale,1588
Roxie,466
Ruleville,2557
Sallis,128
Saltillo,5062
Sandersville,728
Sardis,1581
Satartia village,50
Schlater,287
Scooba,686
Sebastopol,276
Seminary,284
Senatobia,7610
Shannon,1763
Shaw,1685
Shelby,1949
Sherman,704
Shubuta,406
Shuqualak,436
Sidon,464
Silver City,288
Silver Creek,198
Slate Springs village,104
Sledge,476
Smithville,737
Snow Lake Shores,289
Soso,394
Southaven,55780
Starkville,25653
State Line,556
Stonewall,975
Sturgis,263
Summit,1570
Sumner,267
Sumrall,1867
Sunflower,978
Sylvarena village,104
Taylor village,444
Taylorsville,1245
Tchula,1929
Terry,1227
Thaxton,686
Tishomingo,356
Toccopola,258
Tremont,463
Tunica,864
Tupelo,38312
Tutwiler,3416
Tylertown,1428
Union,1897
Utica,883
Vaiden,957
Vardaman,1279
Verona,3232
Vicksburg,21653
Walls,1420
Walnut,754
Walnut Grove,1673
Walthall village,138
Water Valley,3255
Waveland,6302
Waynesboro,4805
Webb,478
Weir,427
Wesson,1722
West,149
West Point,10404
Wiggins,4541
Winona,3964
Winstonville,167
Woodland village,129
Woodville,919
Yazoo City,10869